,CelebName,CelebImageURL,Description,CelebImage
347, Manoj Kumar Manchu,"https://m.media-amazon.com/images/M/MV5BMjg0ZTE3NzItZDlhMi00NzgyLWFkMGMtZjlmODEwYmFjYjhiXkEyXkFqcGdeQXVyMjY1MjkzMjE@._V1_UY209_CR87,0,140,209_AL_.jpg","Manoj Kumar Manchu is known for his work on Pandavulu Pandavulu Thummeda (2014), Current Theega (2014) and Attack (2016).                ","[[[ 63  99  87]
  [ 67 103  91]
  [155 193 181]
  ...
  [255 254 255]
  [255 254 255]
  [255 254 255]]

 [[107 143 131]
  [ 28  64  52]
  [ 84 122 110]
  ...
  [255 255 255]
  [255 254 255]
  [255 255 255]]

 [[105 141 129]
  [ 53  89  77]
  [171 209 197]
  ...
  [255 255 254]
  [255 255 255]
  [255 255 254]]

 ...

 [[ 69 123 153]
  [120 187 210]
  [124 211 227]
  ...
  [ 13  41 166]
  [  0  19 150]
  [ 28  57 191]]

 [[ 37  87 115]
  [ 30  95 116]
  [107 199 210]
  ...
  [ 19  48 169]
  [  0  18 145]
  [ 53  85 214]]

 [[ 88 133 160]
  [ 71 130 150]
  [ 89 177 184]
  ...
  [ 34  63 178]
  [  1  38 158]
  [ 45  86 208]]]"
348, Duniya Vijay,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/medium/name-2135195744._CB466677935_.png,"Duniya Vijay is an actor and producer, known for Duniya (2007), Salaga (2020) and Kari Chirathe (2010).                ","[[[181 181 181]
  [181 181 181]
  [181 181 181]
  ...
  [181 181 181]
  [181 181 181]
  [181 181 181]]

 [[181 181 181]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [181 181 181]]

 [[181 181 181]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [181 181 181]]

 ...

 [[159 159 159]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [159 159 159]]

 [[159 159 159]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [159 159 159]]

 [[159 159 159]
  [159 159 159]
  [159 159 159]
  ...
  [159 159 159]
  [159 159 159]
  [159 159 159]]]"
349, Darshan Thoogudeep,"https://m.media-amazon.com/images/M/MV5BMTVmN2JhYzktMzk2YS00ODRiLWFmYTctYmQ2M2U3Y2M3ZDcwXkEyXkFqcGdeQXVyMjY1MjkzMjE@._V1_UY209_CR129,0,140,209_AL_.jpg","Darshan was born in Ponnampet, Kodagu, Karnatka, India. His Father Thoogudeepa Srinivas, Actor and His Mother Meena. He has a brother named Dinakar Thogudeepa, Film director, screenwriter & Producer and a sister named Divya. Darshan married to Vijaya Lakshmi in 2000. The couple blessed with a son ...                ","[[[198 204 211]
  [198 204 211]
  [198 204 211]
  ...
  [209 199 211]
  [209 201 212]
  [210 202 213]]

 [[198 204 211]
  [198 204 211]
  [198 204 211]
  ...
  [206 200 211]
  [205 201 212]
  [206 202 213]]

 [[198 204 211]
  [198 204 211]
  [198 204 211]
  ...
  [197 199 209]
  [196 201 210]
  [198 203 212]]

 ...

 [[159 194 237]
  [160 195 238]
  [160 195 238]
  ...
  [ 77 108 111]
  [ 70 101 110]
  [ 57  87  98]]

 [[159 194 237]
  [157 195 237]
  [160 195 238]
  ...
  [ 70 100 105]
  [ 58  87  96]
  [ 41  70  79]]

 [[154 192 234]
  [153 193 235]
  [156 194 236]
  ...
  [ 65  94 101]
  [ 46  74  81]
  [ 27  55  62]]]"
350, Sai Srinivas Bellamkonda,"https://m.media-amazon.com/images/M/MV5BMzNlMmM3NDUtMmMwNi00MGZmLTgwMjctYjkyOGFhZjhhY2VlXkEyXkFqcGdeQXVyMjY1MjkzMjE@._V1_UY209_CR86,0,140,209_AL_.jpg","Sai Srinivas Bellamkonda is an actor and producer, known for Alludu Seenu (2014), Sambo Siva Sambho (2010) and Nagavalli (2010). In 2016, he starred in Speedunnodu, a Telugu remake of the Tamil super-hit film Sundarapandian, along with Sonarika Bhadoria and Prakash Raj, he also featured in Jaya ...                ","[[[ 18  61 100]
  [ 16  59  98]
  [ 13  56  95]
  ...
  [ 10  36  60]
  [  8  30  55]
  [  6  29  51]]

 [[ 15  58  97]
  [ 13  56  95]
  [ 11  54  93]
  ...
  [  5  30  56]
  [  2  26  50]
  [  1  24  46]]

 [[ 11  54  93]
  [ 10  53  92]
  [  9  52  91]
  ...
  [  0  25  51]
  [  0  21  45]
  [  0  19  43]]

 ...

 [[ 32 183 234]
  [ 32 183 234]
  [ 37 185 237]
  ...
  [ 57 145 192]
  [ 53 143 190]
  [ 51 141 188]]

 [[ 32 180 232]
  [ 33 181 233]
  [ 37 185 237]
  ...
  [ 56 144 191]
  [ 55 143 190]
  [ 53 141 187]]

 [[ 33 180 230]
  [ 35 184 234]
  [ 39 188 238]
  ...
  [ 57 143 189]
  [ 57 143 189]
  [ 56 143 187]]]"
351, Vimal,"https://m.media-amazon.com/images/M/MV5BMmQzNzRkYmEtZWY0YS00MTVkLWFjZWYtM2JjNDdlMjBjNTRiL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UY209_CR15,0,140,209_AL_.jpg","Vimal is an actor, known for Kaaval (2015), Netru Indru (2014) and Ghilli (2004).                ","[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[ 15  16  37]
  [ 13  13  37]
  [ 16  14  43]
  ...
  [ 87 103 216]
  [ 86 106 218]
  [ 83 105 217]]

 [[ 24  25  51]
  [ 24  25  53]
  [ 21  20  54]
  ...
  [ 85 105 212]
  [ 90 112 217]
  [ 91 116 220]]

 [[ 30  30  76]
  [ 29  30  74]
  [ 26  28  69]
  ...
  [ 90 105 215]
  [ 94 110 217]
  [ 96 114 221]]]"
352, Srikanth,"https://m.media-amazon.com/images/M/MV5BMTRlMzhjYzQtZjJjOS00Y2M1LTkxNTgtYTg4NDliMTBkMmQ0XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX140_CR0,0,140,209_AL_.jpg","Meka Srikanth is an Indian Film actor. He is famous for Sarrainodu (2016), Parthiban Kanavu (2003) and many others. He is popular for his good acting skills and p-performance. He is working in in Telugu cinema. He has received two state Nandi Awards, and one Filmfare Award South.                ","[[[15 32 45]
  [18 35 48]
  [12 29 42]
  ...
  [21 36 55]
  [19 35 52]
  [18 34 51]]

 [[16 32 48]
  [21 38 51]
  [18 35 48]
  ...
  [21 36 55]
  [19 35 52]
  [18 34 51]]

 [[14 30 47]
  [23 39 55]
  [21 36 52]
  ...
  [19 36 55]
  [17 35 52]
  [16 34 51]]

 ...

 [[19 54 68]
  [18 51 66]
  [18 48 65]
  ...
  [25 41 57]
  [24 40 56]
  [24 40 56]]

 [[28 60 73]
  [24 56 69]
  [22 51 66]
  ...
  [26 41 57]
  [25 40 56]
  [25 40 56]]

 [[15 37 49]
  [16 38 50]
  [21 38 51]
  ...
  [26 42 55]
  [25 41 54]
  [25 41 54]]]"
353, Ganesh,"https://m.media-amazon.com/images/M/MV5BNTRhOGFhMmItY2EyNi00ZDU2LTkxNzItN2YxY2U1YTExOWFjXkEyXkFqcGdeQXVyMjY1MjkzMjE@._V1_UY209_CR115,0,140,209_AL_.jpg","Ganesh sprouts from the suburbs of Bangalore, a town called Nelamangala. He has a Diploma in Electronics. Started as a TV artist for a popular Kannada TV show called ""Comedy Time"" in Udaya TV, gained popularity and won people's heart from then. He also acted in Kannada TV serials. On the big screen...                ","[[[186 127 172]
  [191 132 177]
  [193 128 177]
  ...
  [ 66  67  93]
  [ 72  74  98]
  [ 71  74  95]]

 [[186 127 172]
  [191 132 177]
  [193 128 177]
  ...
  [ 73  74 100]
  [ 75  77 101]
  [ 69  72  93]]

 [[186 127 172]
  [191 132 177]
  [193 128 177]
  ...
  [ 83  83 107]
  [ 78  79 100]
  [ 68  69  90]]

 ...

 [[185 126 176]
  [186 127 177]
  [186 127 177]
  ...
  [183 124 175]
  [183 124 175]
  [183 124 175]]

 [[181 122 172]
  [184 125 175]
  [186 127 177]
  ...
  [180 121 172]
  [180 121 172]
  [180 121 172]]

 [[174 115 165]
  [174 115 165]
  [174 115 165]
  ...
  [177 118 169]
  [177 118 169]
  [177 118 169]]]"
355, Allari Naresh,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/medium/name-2135195744._CB466677935_.png,"Allari Naresh is an Indian film actor who stars in Tollywood films. He is fluent in Telugu, Tamil, Hindi and English. He got the moniker ""Allari"" after the success of his first film in Tollywood. His debut film in Tamil, Kurumbu, was a remake of Allari. He received Nandi Award for Best Supporting ...                ","[[[181 181 181]
  [181 181 181]
  [181 181 181]
  ...
  [181 181 181]
  [181 181 181]
  [181 181 181]]

 [[181 181 181]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [181 181 181]]

 [[181 181 181]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [181 181 181]]

 ...

 [[159 159 159]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [159 159 159]]

 [[159 159 159]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [159 159 159]]

 [[159 159 159]
  [159 159 159]
  [159 159 159]
  ...
  [159 159 159]
  [159 159 159]
  [159 159 159]]]"
356, Indrajith Sukumaran,"https://m.media-amazon.com/images/M/MV5BNmE3OWEzMDAtYWJhMC00MzM1LTg3MzYtNzM1N2UyYWU5ZWI5XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY209_CR0,0,140,209_AL_.jpg","Indrajith Sukumaran was born in 1980 in Thiruvananthapuram, Kerala, India. He is known for his work on Left Right Left (2013), Ee Adutha Kaalath (2012) and Amen (2013). He has been married to Poornima Indrajith since December 13, 2002. They have one child.                ","[[[20 44 20]
  [22 46 22]
  [22 48 24]
  ...
  [35 61 43]
  [36 63 43]
  [38 65 45]]

 [[21 45 21]
  [22 46 22]
  [23 49 25]
  ...
  [36 62 44]
  [38 65 45]
  [39 66 46]]

 [[22 46 22]
  [23 47 23]
  [23 49 25]
  ...
  [38 64 46]
  [40 67 47]
  [41 68 48]]

 ...

 [[38 30 23]
  [39 31 24]
  [42 34 27]
  ...
  [63 54 45]
  [64 55 46]
  [60 51 42]]

 [[42 33 29]
  [43 35 28]
  [45 36 32]
  ...
  [61 52 43]
  [63 54 45]
  [60 51 42]]

 [[45 36 33]
  [48 39 35]
  [53 44 41]
  ...
  [56 48 41]
  [56 48 41]
  [58 50 43]]]"
357, Arun Vijay,"https://m.media-amazon.com/images/M/MV5BNmY4ZDA5YjItMGQ2Yi00MGY4LTgyNjEtYmQzNzc3MjIzZGI0XkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UY209_CR123,0,140,209_AL_.jpg","Arun Vijay is known for his work on Chekka Chivantha Vaanam (2018), Chakravyuha (2016) and Yennai Arindhaal (2015).                ","[[[ 93  78  69]
  [ 94  79  70]
  [ 94  79  70]
  ...
  [234 194  76]
  [234 193  77]
  [233 192  76]]

 [[ 94  79  70]
  [ 94  79  70]
  [ 95  80  71]
  ...
  [234 194  76]
  [234 193  77]
  [233 192  76]]

 [[ 96  79  70]
  [ 97  80  71]
  [ 98  81  72]
  ...
  [234 194  76]
  [234 193  77]
  [233 192  76]]

 ...

 [[141 111 116]
  [149 125 127]
  [154 138 132]
  ...
  [ 64  68  86]
  [ 63  67  85]
  [ 62  66  84]]

 [[130  93 103]
  [128  94 101]
  [141 109 114]
  ...
  [ 64  69  84]
  [ 63  67  85]
  [ 63  68  83]]

 [[255 224 234]
  [109  57  67]
  [120  60  78]
  ...
  [ 67  70  84]
  [ 65  68  83]
  [ 64  67  81]]]"
358, Rana Daggubati,"https://m.media-amazon.com/images/M/MV5BOTE2MzRlMzUtYTViMy00OTNhLTliZGMtNzYwZDk0NDcwY2U4L2ltYWdlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR4,0,140,209_AL_.jpg","Actor, producer and entrepreneur, Rana Daggubati enjoys a very unique fandom from across the world. Perhaps best known as the vicious antagonist 'Bhallaladeva' from the record-breaking Indian franchise, Baahubali, Rana, however, began his mainstream film career as the producer of the National ...                ","[[[234 205  96]
  [239 210 101]
  [245 214 105]
  ...
  [242 213 115]
  [244 215 117]
  [245 216 118]]

 [[233 204  95]
  [240 212 101]
  [246 217 108]
  ...
  [246 217 119]
  [245 216 118]
  [244 215 117]]

 [[236 209  98]
  [244 218 104]
  [252 224 113]
  ...
  [244 215 117]
  [240 211 113]
  [237 208 110]]

 ...

 [[ 98  57  55]
  [ 98  57  55]
  [ 97  56  54]
  ...
  [111  65  64]
  [111  65  64]
  [110  64  63]]

 [[102  58  57]
  [100  59  57]
  [102  58  57]
  ...
  [108  64  63]
  [107  63  62]
  [107  63  62]]

 [[103  58  55]
  [102  59  56]
  [109  64  61]
  ...
  [ 84  45  43]
  [ 84  45  43]
  [ 83  44  42]]]"
359, Nara Rohith,"https://m.media-amazon.com/images/M/MV5BZWY0ZTFiZWItOTNjNC00ZDM4LThlNzYtNjQyZGUzZGRlMWEyXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR29,0,140,209_AL_.jpg","Nara Rohith was born on July 25, 1984 in Tirupati, Andhra Pradesh, India. He is an actor and producer, known for Appatlo Okadundevadu (2016), Okkadine (2013) and Asura (2015).                ","[[[ 95 116 118]
  [ 79 100 102]
  [ 65  86  87]
  ...
  [ 29  56  40]
  [ 33  59  46]
  [ 36  62  49]]

 [[ 87 108 110]
  [ 72  93  95]
  [ 61  82  83]
  ...
  [ 22  48  34]
  [ 23  49  36]
  [ 24  50  37]]

 [[ 82 103 105]
  [ 69  90  92]
  [ 61  82  83]
  ...
  [ 33  59  45]
  [ 31  57  44]
  [ 30  55  45]]

 ...

 [[ 33  18  79]
  [ 96  82 136]
  [105  88 132]
  ...
  [168 129  85]
  [185 155 100]
  [255 246 184]]

 [[123 127 180]
  [127 131 180]
  [ 83  82 126]
  ...
  [146 111  68]
  [157 129  69]
  [225 204 136]]

 [[191 220 255]
  [181 210 249]
  [184 210 246]
  ...
  [117  89  48]
  [122  95  44]
  [169 147  89]]]"
360, Sharwanand,"https://m.media-amazon.com/images/M/MV5BMjdhZDJjMjUtMzUyOS00M2NjLWFmNmEtNmRlM2M0ZDNmNTZmXkEyXkFqcGdeQXVyNDc2NzU1MTA@._V1_UY209_CR82,0,140,209_AL_.jpg","Sharwanand is known for his work on Malli Malli Idhi Rani Roju (2015), Engeyum Eppodhum (2011) and Run Raja Run (2014).                ","[[[165 146 111]
  [164 145 110]
  [165 146 111]
  ...
  [190 156  67]
  [188 154  70]
  [188 154  70]]

 [[165 146 111]
  [164 145 110]
  [164 145 110]
  ...
  [190 155  69]
  [188 154  70]
  [188 154  70]]

 [[166 147 110]
  [165 146 109]
  [163 144 107]
  ...
  [191 156  70]
  [189 155  71]
  [189 155  72]]

 ...

 [[ 29  32  37]
  [ 27  30  35]
  [ 30  33  38]
  ...
  [143 137 118]
  [143 136 119]
  [143 136 119]]

 [[ 27  30  35]
  [ 26  29  34]
  [ 30  33  38]
  ...
  [143 137 118]
  [143 137 118]
  [143 137 118]]

 [[ 29  32  37]
  [ 29  32  37]
  [ 35  38  43]
  ...
  [142 139 118]
  [142 139 118]
  [142 139 118]]]"
361, Jayam Ravi,"https://m.media-amazon.com/images/M/MV5BMTM4YmFhZTktNDgwMC00ODA3LTkxMTctZWYyOTIyNTJmYjQwXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UY209_CR3,0,140,209_AL_.jpg","Ravi was born to Tamil parents, editor Mohan and Varalakshmi Mohan. He has two siblings, his elder brother M. Raja is a noted film director, with most of his films featuring Ravi in the lead role, while his sister, Roja Mohan, is a dentist. He completed his schooling at Jawahar Vidyalaya in Ashok ...                ","[[[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 1]
  [0 0 1]
  [0 0 1]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 1]
  [0 0 1]
  [0 0 1]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 1]
  [0 0 1]
  [0 0 1]]

 ...

 [[0 1 2]
  [0 1 2]
  [0 1 2]
  ...
  [0 0 6]
  [0 0 6]
  [0 0 6]]

 [[0 1 2]
  [0 1 2]
  [0 1 2]
  ...
  [0 0 5]
  [0 0 5]
  [0 0 5]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [1 1 7]
  [1 1 7]
  [1 1 7]]]"
362, Jai,"https://m.media-amazon.com/images/M/MV5BMmI1YzY2YTYtZjNkZC00NWJmLWJiNjMtYmIwZTNlNWU1NzM0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UY209_CR14,0,140,209_AL_.jpg","Jai is known for his work on Raja Rani (2013), Bluffmaster! (2005) and Subramaniapuram (2008).                ","[[[145 189 206]
  [145 189 206]
  [145 189 206]
  ...
  [140 184 201]
  [140 184 201]
  [140 184 201]]

 [[145 189 206]
  [145 189 206]
  [145 189 206]
  ...
  [140 184 201]
  [140 184 201]
  [140 184 201]]

 [[145 189 206]
  [145 189 206]
  [145 189 206]
  ...
  [140 184 201]
  [140 184 201]
  [140 184 201]]

 ...

 [[179 204 220]
  [173 198 214]
  [173 198 214]
  ...
  [203 226 242]
  [200 223 239]
  [199 222 238]]

 [[177 202 218]
  [172 197 213]
  [172 197 213]
  ...
  [203 226 242]
  [200 223 239]
  [200 223 239]]

 [[175 200 216]
  [171 196 212]
  [172 197 213]
  ...
  [205 225 243]
  [205 225 243]
  [204 224 242]]]"
363, Vikranth,"https://m.media-amazon.com/images/M/MV5BNjRjMjdhMmItODBjYS00ZDg3LTg4MWMtZmQwZWM1OWZlYWRhXkEyXkFqcGdeQXVyMjY1MjkzMjE@._V1_UY209_CR118,0,140,209_AL_.jpg","Vikranth is an actor, known for Kavan (2017), Thakka Thakka (2015) and Gethu (2016).                ","[[[ 78  94 106]
  [ 75  91 103]
  [ 72  88 100]
  ...
  [ 57  82 108]
  [ 56  80 108]
  [ 55  79 107]]

 [[ 79  95 107]
  [ 76  92 104]
  [ 73  89 101]
  ...
  [ 57  82 108]
  [ 56  80 108]
  [ 55  79 107]]

 [[ 80  96 108]
  [ 77  93 105]
  [ 74  90 102]
  ...
  [ 57  82 108]
  [ 56  80 108]
  [ 56  80 108]]

 ...

 [[ 42  54  60]
  [ 38  50  56]
  [ 33  45  51]
  ...
  [111 128 147]
  [ 98 115 134]
  [ 81  98 117]]

 [[ 41  53  59]
  [ 37  49  55]
  [ 33  45  51]
  ...
  [111 128 147]
  [ 97 114 133]
  [ 79  96 115]]

 [[ 39  48  57]
  [ 37  46  55]
  [ 35  44  53]
  ...
  [108 125 144]
  [ 94 111 130]
  [ 78  95 114]]]"
364, Naga Shaurya,"https://m.media-amazon.com/images/M/MV5BY2RiOWQxOTYtYzdmNC00YjM4LTkxYzAtODdiNTdkNjNlNWE5XkEyXkFqcGdeQXVyNDc2NzU1MTA@._V1_UY209_CR116,0,140,209_AL_.jpg","Naga Shourya Mulpuri is an Indian film actor known for his works in Telugu cinema. He made his debut with the 2011 Telugu film Cricket, Girls And Beer. He then made a cameo appearance in the National Award-winning anthology film, Chandamama Kathalu. He then appeared in box-office hits such as ...                ","[[[ 28 189 103]
  [ 27 190 105]
  [ 27 188 108]
  ...
  [161 183 218]
  [164 185 217]
  [165 185 216]]

 [[ 30 189 103]
  [ 30 190 106]
  [ 29 191 109]
  ...
  [160 185 219]
  [164 185 217]
  [165 186 217]]

 [[ 34 191 104]
  [ 34 193 107]
  [ 37 195 111]
  ...
  [160 185 217]
  [163 187 217]
  [163 187 215]]

 ...

 [[ 56  55  27]
  [ 64  63  35]
  [ 66  65  39]
  ...
  [ 31  41  18]
  [ 33  41  18]
  [ 33  41  18]]

 [[ 53  50  22]
  [ 60  59  31]
  [ 70  66  41]
  ...
  [ 31  41  18]
  [ 33  41  18]
  [ 33  42  16]]

 [[ 55  51  23]
  [ 58  55  27]
  [ 58  53  28]
  ...
  [ 35  40  19]
  [ 34  40  15]
  [ 34  41  14]]]"
365, Lal,"https://m.media-amazon.com/images/M/MV5BNDgyYWE0MDQtZDgzNS00NWNmLWIzZDMtZmMyOTBkODdiYzk1XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY209_CR0,0,140,209_AL_.jpg","Lal was born as Paul Michael. He is an actor and writer, known for Hera Pheri (2000), Tournament (2010) and Godfather (1991).                ","[[[105  82  20]
  [105  84  22]
  [100  85  23]
  ...
  [216 212 193]
  [216 212 193]
  [217 213 194]]

 [[105  82  20]
  [105  84  22]
  [101  86  24]
  ...
  [217 213 194]
  [217 213 194]
  [218 214 195]]

 [[105  82  20]
  [105  84  22]
  [101  86  24]
  ...
  [218 214 195]
  [219 215 196]
  [219 215 196]]

 ...

 [[ 71  47  27]
  [ 61  37  17]
  [ 49  24   8]
  ...
  [156 150  91]
  [157 153  95]
  [160 155 100]]

 [[ 66  44  26]
  [ 54  31  15]
  [ 39  16   1]
  ...
  [158 151  94]
  [161 153 100]
  [164 155 105]]

 [[ 36  20   4]
  [ 33  17   1]
  [ 29  12   0]
  ...
  [122 115  65]
  [107  94  48]
  [141 128  84]]]"
366, T.R. Silambarasan,"https://m.media-amazon.com/images/M/MV5BMzliYWU5N2ItYmI4MS00ZmNkLWE3MjQtZDE3NTQyNGQ3Y2NkXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UY209_CR16,0,140,209_AL_.jpg","Born to one of Tamil Cinema's most notorious filmmaker, Thesingu Rajender and popularly known as Simbhu, Silambrasan frequently acted in his father's productions. He was also trained as a singer and could sing ballads, as well as fast-paced songs. He also has a younger brother, kuralarasan, who ...                ","[[[189 185 184]
  [189 185 184]
  [189 185 184]
  ...
  [  0   0   3]
  [ 14  10  15]
  [ 45  41  46]]

 [[189 185 184]
  [189 185 184]
  [189 185 184]
  ...
  [ 25  24  28]
  [  2   0   3]
  [  6   2   7]]

 [[189 185 184]
  [189 185 184]
  [189 185 184]
  ...
  [ 79  78  82]
  [ 36  32  37]
  [  2   0   3]]

 ...

 [[171 186 232]
  [169 186 229]
  [171 186 232]
  ...
  [181 166 163]
  [193 178 175]
  [203 188 185]]

 [[166 183 226]
  [170 187 230]
  [166 182 228]
  ...
  [184 172 168]
  [196 184 180]
  [203 191 187]]

 [[175 193 234]
  [176 194 235]
  [172 189 232]
  ...
  [195 183 181]
  [202 190 188]
  [206 194 192]]]"
367, V. Ravichandran,"https://m.media-amazon.com/images/M/MV5BMWUwM2VlYzQtODc4YS00ZmIwLThhZDAtODIyNGVkNjM5ODNhXkEyXkFqcGdeQXVyNzY3MTExNTA@._V1_UY209_CR87,0,140,209_AL_.jpg","He is known as a non-conformist, and created his own style of film making. Most of his movies show very little influence of other directors. Notable aspects of his film making include a curious combination of close-ups, abrupt fast-cuts and innovative camera angles. He is renowned in the Kannada ...                ","[[[106   7  33]
  [111  14  40]
  [108  17  42]
  ...
  [  5 156  16]
  [ 28 175  13]
  [ 48 194  22]]

 [[130  25  52]
  [130  27  54]
  [122  25  51]
  ...
  [  7 156  16]
  [ 25 172  10]
  [ 44 190  18]]

 [[160  45  72]
  [154  41  68]
  [143  33  59]
  ...
  [  8 153  14]
  [ 24 168   9]
  [ 43 186  17]]

 ...

 [[ 85  16  26]
  [ 55   0   3]
  [ 66  18  24]
  ...
  [242 226 250]
  [242 226 250]
  [242 226 250]]

 [[ 95  19  30]
  [ 81  14  23]
  [ 46   0   2]
  ...
  [242 226 250]
  [242 226 250]
  [242 226 250]]

 [[ 96  16  33]
  [ 87  14  30]
  [ 66   7  22]
  ...
  [240 225 252]
  [240 225 252]
  [241 226 253]]]"
368, Arvind Swamy,"https://m.media-amazon.com/images/M/MV5BN2RmNjgyZGMtYmUyYi00OTY1LTg1NGQtMWRmNjI3OWU0MjUxXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UX140_CR0,0,140,209_AL_.jpg","Arvind Swami was born in Chennai, India. His parents were V.D.Swami and Vasantha Swami. V.D.Swami was a freedom fighter and an industrialist and Vasantha Swami was an accomplished Bharatanatyam Dancer. Arvind Swami did his schooling in Sishya School and Don Bosco School in Chennai. He went to ...                ","[[[ 47  50  55]
  [ 48  51  56]
  [ 51  54  59]
  ...
  [ 44  45  49]
  [ 42  43  47]
  [ 40  41  45]]

 [[ 46  49  54]
  [ 48  51  56]
  [ 50  53  58]
  ...
  [ 46  47  51]
  [ 44  45  49]
  [ 42  43  47]]

 [[ 45  48  53]
  [ 47  50  55]
  [ 50  53  58]
  ...
  [ 49  50  54]
  [ 47  48  52]
  [ 46  47  51]]

 ...

 [[118 106 106]
  [118 106 106]
  [109  97  97]
  ...
  [ 13   9  14]
  [  9  11  11]
  [  7  13   8]]

 [[109  97  97]
  [118 106 106]
  [115 103 103]
  ...
  [ 13   9  14]
  [  9  12  10]
  [  9  13   8]]

 [[100  86  87]
  [115 101 102]
  [124 110 111]
  ...
  [ 11  11  11]
  [ 11  12  10]
  [ 11  12  10]]]"
369, Arjun Sarja,"https://m.media-amazon.com/images/M/MV5BYTFjNjNkYTMtNjQ4My00OGI4LWJjNDMtNTViYzY5ZmYxYzhmXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UY209_CR4,0,140,209_AL_.jpg","Arjun Sarja was born on August 15, 1962 in Madhugiri, Mysore State, India as Sreenivasa Sarja R. Ashok Babu Arjun. He is an actor and director, known for Irumbu Thirai (2018), Mudhalvan (1999) and Gentleman (1993).                ","[[[174 172 171]
  [174 172 171]
  [174 172 171]
  ...
  [161 163 163]
  [161 163 163]
  [161 163 163]]

 [[174 172 171]
  [174 172 171]
  [174 172 171]
  ...
  [161 163 163]
  [161 163 163]
  [161 163 163]]

 [[174 172 171]
  [174 172 171]
  [174 172 171]
  ...
  [161 163 163]
  [161 163 163]
  [161 163 163]]

 ...

 [[138 141 139]
  [142 145 143]
  [141 144 142]
  ...
  [  7   8   6]
  [  8   9   7]
  [  8   9   7]]

 [[140 143 141]
  [145 148 146]
  [143 146 144]
  ...
  [  7   8   6]
  [  7   8   6]
  [  8   9   7]]

 [[143 144 142]
  [140 141 139]
  [146 147 145]
  ...
  [  6   7   5]
  [  7   8   6]
  [  7   8   6]]]"
